 Year,Month,Rainfall,Temperature
1949,5,39.9982,15.2392
1949,6,24.8913,20.0401
1949,7,13.6796,22.9222
1949,8,8.5675,23.6302
1949,9,110.704,19.7238
1949,10,35.0659,16.7364
1949,11,105.798,12.1365
1949,12,94.2965,8.85755
1950,1,47.3277,7.84308
1950,2,81.3678,9.7303
1950,3,66.8464,11.3465
1950,4,18.8163,12.895
1950,5,104.636,15.3058
1950,6,39.1264,19.7459
1950,7,15.5751,22.7818
1950,8,5.47985,21.5741
1950,9,25.4314,19.3761
1950,10,45.4515,15.8408
1950,11,54.8747,12.9275
1950,12,122.955,7.63719
1951,1,134.338,8.24556
1951,2,152.403,8.12313
1951,3,131.998,10.8689
1951,4,53.8443,13.0495
1951,5,46.5455,13.5474
1951,6,43.086,19.7259
1951,7,10.3477,21.7479
1951,8,10.4573,21.0424
1951,9,34.3451,20.1412
1951,10,49.6247,14.8872
1951,11,218.566,11.3977
1951,12,55.3255,9.71992
1952,1,84.5528,6.79783
1952,2,35.8322,8.79137
1952,3,186.755,12.8588
1952,4,48.5968,13.0527
1952,5,110.108,16.0119
1952,6,56.3201,20.2976
1952,7,18.6855,21.5947
1952,8,12.0079,21.2533
1952,9,60.6277,17.8798
1952,10,76.6708,16.3738
1952,11,67.2976,12.0432
1952,12,82.6768,8.83752
1953,1,64.394,7.30839
1953,2,54.7993,8.04415
1953,3,53.5916,10.9139
1953,4,99.3544,13.1126
1953,5,16.9963,17.785
1953,6,32.4539,18.3922
1953,7,10.0928,21.8053
1953,8,1.7638,23.2885
1953,9,44.6497,20.2614
1953,10,145.171,15.3241
1953,11,36.7721,12.6602
1953,12,125.612,10.8382
1954,1,37.9111,6.71601
1954,2,44.0708,7.71027
1954,3,133.286,10.4995
1954,4,46.4928,12.2463
1954,5,26.5406,15.9587
1954,6,19.8394,18.5623
1954,7,3.98457,21.3191
1954,8,11.0138,20.7986
1954,9,7.88214,19.7428
1954,10,29.7942,17.4829
1954,11,124.319,13.2653
1954,12,45.7892,9.12206
1955,1,232.208,10.9782
1955,2,180.593,9.51482
1955,3,95.2942,10.2594
1955,4,25.4759,15.0257
1955,5,52.0162,17.7397
1955,6,33.4269,19.9212
1955,7,6.39351,21.8402
1955,8,15.6212,22.5108
1955,9,12.0272,20.6132
1955,10,85.4384,16.2054
1955,11,156.147,11.9911
